0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
40286,3896,681,17011,1482,3697,597,16795,1395,809,771,2640,2683,783,582,1938,2842,2253,1737,5281,1641,2396,1562,5230,1673,1266,5360,12794,5299,1354,5575,13406,6199,169,1369,3862,7197,167,1485,3606,6661,405,190,266,244,438,302,199,204,26,277,85,157,46,433,141,62,8497790,52305,25
35552,3419,665,17290,948,3179,657,16523,1037,793,792,2556,2298,671,595,1920,2606,2503,1643,4122,1386,2524,1440,3885,1524,1616,7139,11111,3862,1653,7661,11873,4538,123,1864,3596,5417,115,1996,3743,4713,324,166,211,223,278,228,185,174,36,263,54,122,35,304,86,51,8516756,48956,25
38287,3590,654,17823,1154,3306,640,17123,1168,840,840,2606,2412,738,614,1977,2721,2497,1748,4502,1534,2559,1476,4364,1573,1587,7345,12277,4120,1630,7385,12666,5012,164,1812,4073,6085,142,1891,3732,5570,320,172,237,247,355,240,237,191,32,281,68,118,33,360,101,66,8502713,51992,25
30812,2985,930,15646,923,2932,828,14818,962,775,841,2853,2548,714,785,2257,2727,2779,1624,3136,1534,2760,1580,2979,1745,1956,8205,6750,2738,1886,8600,7093,3574,201,2110,3269,3066,176,2121,3358,2296,354,263,193,178,343,340,281,251,37,255,39,89,40,307,98,86,8544942,42032,26
29500,2615,820,17612,801,2344,741,16599,871,732,845,2558,2212,592,684,1998,2467,2648,1585,2946,1317,2649,1393,2940,1513,1513,9502,8389,2128,1605,9526,8873,2997,132,2146,4052,3319,130,2142,4251,2660,305,201,176,197,249,255,215,167,57,329,51,73,39,306,68,63,8536112,46790,26
30022,2969,796,15700,968,2818,792,15213,885,710,789,2565,2407,675,689,2082,2576,2539,1535,3237,1436,2636,1477,3027,1554,1659,7975,7575,2647,1777,8193,7887,3548,158,1923,3638,3398,169,2019,3461,2870,340,231,192,228,298,281,285,191,31,290,43,93,41,315,84,96,8544563,43404,26
31060,3184,1031,18750,1005,2905,862,17952,1064,933,880,3359,2817,742,720,2519,3178,3010,1992,3185,1549,3037,1822,3378,1725,1974,8266,8152,2493,2225,8442,8535,3146,267,2277,5482,2958,240,2354,5562,2449,433,325,358,264,435,381,290,269,65,351,84,147,68,405,84,85,8514904,53571,27
35686,3507,1065,19599,1204,3309,938,18852,1282,955,958,3292,3041,798,747,2594,3288,2790,2089,3836,1789,3001,1834,3754,2021,2040,8058,10029,3298,2193,8500,10709,4249,344,2053,5769,3648,278,2223,5582,3422,501,302,348,359,481,364,318,243,70,339,93,147,78,450,111,107,8493340,57725,27
33141,3654,909,18256,979,3402,784,17670,1136,989,903,3162,2895,775,729,2559,3063,2801,1892,3589,1674,2951,1815,3743,1948,2139,7308,10135,3745,2309,7727,10571,4327,240,1964,5102,3447,217,2055,5000,2943,476,280,243,261,498,290,282,260,40,191,61,102,45,260,58,82,8510253,51670,27
24376,2332,888,10403,1042,2193,732,10410,942,742,701,2340,2191,597,572,2022,2324,1995,1254,2196,1518,1959,1220,2333,1393,1381,5109,3462,2417,1845,5377,3809,2804,251,1462,2909,1824,249,1143,2635,1526,358,187,195,171,306,290,188,256,41,235,50,71,43,245,79,124,8598716,31567,28
